arcs,build_source_hash,candidates_examined,capacity_mode,certification_seconds,command,complete_sequence,configuration,degenerate_pivots,direction_seconds,end_to_end_seconds,family,flow_augmentations,flow_solves,full_rebuilds,instance,instance_path,instance_sha256,local_rebuilds,macroitems,message,nodes,objective,oracle_calls,origin,peak_rss_bytes,pivots,preprocessing_seconds,pricing_seconds,ratio_test_seconds,rebuilt_nodes,removed_arcs,replica,run_id,runner_seconds,status,total_seconds,update_seconds,verified
31979,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,2471298,"""instance""",0.000921921,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_dense_density0.1_n800_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/pilot/d1c204e8254b9647/resolved_config.json', '--output', '<project>/experiments/runs/pilot/d1c204e8254b9647/result.json']",False,forest-tuned,26618,0.061448457,0.587138813,dense,0,0,123,gen_dense_density0.1_n800_uniform_neg30_r0,data/generated/gen_dense_density0.1_n800_uniform_neg30_r0.json,a4f603074fc44d53ac349f4abd7c3e033cba8af3dab02149a4e09212f678cf6a,26618,18,,800,6881.598944591029,19,generated,22917120,26722,0.002044596,0.027206455,0.077901877,11074332,0,0,d1c204e8254b9647,0.5967540529964026,optimal,0.566784627,0.361927376,True
31979,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,0,"""instance""",0.000933873,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_dense_density0.1_n800_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/pilot/6fb51c55196de3b2/resolved_config.json', '--output', '<project>/experiments/runs/pilot/6fb51c55196de3b2/result.json']",False,parametric,0,0.0,0.110715801,dense,4216,37,0,gen_dense_density0.1_n800_uniform_neg30_r0,data/generated/gen_dense_density0.1_n800_uniform_neg30_r0.json,a4f603074fc44d53ac349f4abd7c3e033cba8af3dab02149a4e09212f678cf6a,0,18,,800,6881.598944591029,36,generated,26742784,0,0.002179589,0.0,0.0,0,0,0,6fb51c55196de3b2,0.12047124600212555,optimal,0.091091069,0.0,True
1993,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,0,"""instance""",0.000241498,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_disconnected_components6_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/pilot/fb885ccd79cd5c15/resolved_config.json', '--output', '<project>/experiments/runs/pilot/fb885ccd79cd5c15/result.json']",False,dinkelbach,0,0.0,0.897620246,disconnected,833123,5106,0,gen_disconnected_components6_n2000_uniform_neg30_r0,data/generated/gen_disconnected_components6_n2000_uniform_neg30_r0.json,66b6c3b18dce9f7bf7f5193769ac2ee6fcccc28023d6b2d06e9064f83c38de96,0,458,,2000,36857.0,459,generated,26750976,0,0.000384215,0.0,0.0,0,0,0,fb885ccd79cd5c15,0.905760741996346,optimal,0.895068823,0.0,True
1993,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,169020055,"""instance""",0.000254704,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_disconnected_components6_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/pilot/c88ae649aa31b66e/resolved_config.json', '--output', '<project>/experiments/runs/pilot/c88ae649aa31b66e/result.json']",False,forest-reference,125168,0.166115149,4.357882708,disconnected,0,0,131577,gen_disconnected_components6_n2000_uniform_neg30_r0,data/generated/gen_disconnected_components6_n2000_uniform_neg30_r0.json,66b6c3b18dce9f7bf7f5193769ac2ee6fcccc28023d6b2d06e9064f83c38de96,0,458,,2000,36857.0,728,generated,26750976,130849,0.000327496,1.069658717,0.407237116,169151632,0,0,c88ae649aa31b66e,4.364901515000383,optimal,4.355319239,2.645740283,True
1993,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,15220210,"""instance""",0.000244848,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_disconnected_components6_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/pilot/afd76041ed2059a8/resolved_config.json', '--output', '<project>/experiments/runs/pilot/afd76041ed2059a8/result.json']",False,forest-tuned,249017,0.362752299,1.056117483,disconnected,0,0,1433,gen_disconnected_components6_n2000_uniform_neg30_r0,data/generated/gen_disconnected_components6_n2000_uniform_neg30_r0.json,66b6c3b18dce9f7bf7f5193769ac2ee6fcccc28023d6b2d06e9064f83c38de96,248417,458,,2000,36857.0,459,generated,26750976,249391,0.000382739,0.162912514,0.261965957,3272527,0,0,afd76041ed2059a8,1.0633092019998003,optimal,1.053260602,0.12378751100000002,True
1993,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,0,"""instance""",0.00024343,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_disconnected_components6_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/pilot/9e1f9204ed156436/resolved_config.json', '--output', '<project>/experiments/runs/pilot/9e1f9204ed156436/result.json']",False,parametric,0,0.0,0.05579895,disconnected,8072,917,0,gen_disconnected_components6_n2000_uniform_neg30_r0,data/generated/gen_disconnected_components6_n2000_uniform_neg30_r0.json,66b6c3b18dce9f7bf7f5193769ac2ee6fcccc28023d6b2d06e9064f83c38de96,0,458,,2000,36857.0,916,generated,26750976,0,0.000350108,0.0,0.0,0,0,0,9e1f9204ed156436,0.06218084400461521,optimal,0.053189692,0.0,True
0,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,0,"""instance""",0.000200086,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_empty_plain_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/pilot/5392728c694a386d/resolved_config.json', '--output', '<project>/experiments/runs/pilot/5392728c694a386d/result.json']",False,dinkelbach,0,0.0,0.2380916,empty,0,5907,0,gen_empty_plain_n2000_uniform_neg30_r0,data/generated/gen_empty_plain_n2000_uniform_neg30_r0.json,35817d1c1aafd47a030dfa03b1ebfca0690ff6596363b8ec045a4e63a6ce7876,0,507,,2000,48078.02777777778,508,generated,26750976,0,0.000288798,0.0,0.0,0,0,0,5392728c694a386d,0.24329157300235238,optimal,0.236512198,0.0,True
0,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,13605008,"""instance""",0.000200807,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_empty_plain_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/pilot/ebd8369c4ed9b97b/resolved_config.json', '--output', '<project>/experiments/runs/pilot/ebd8369c4ed9b97b/result.json']",False,forest-reference,0,0.012171853,0.331000169,empty,0,0,10402,gen_empty_plain_n2000_uniform_neg30_r0,data/generated/gen_empty_plain_n2000_uniform_neg30_r0.json,35817d1c1aafd47a030dfa03b1ebfca0690ff6596363b8ec045a4e63a6ce7876,0,507,,2000,48078.02777777778,1419,generated,26750976,8983,0.000265552,0.091428245,0.00409064,13615410,0,0,ebd8369c4ed9b97b,0.3367192570003681,optimal,0.329491762,0.186716985,True
0,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,672675,"""instance""",0.000198648,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_empty_plain_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/pilot/666f1dbfe3e02f9f/resolved_config.json', '--output', '<project>/experiments/runs/pilot/666f1dbfe3e02f9f/result.json']",False,forest-tuned,0,0.0,0.049227692,empty,0,0,508,gen_empty_plain_n2000_uniform_neg30_r0,data/generated/gen_empty_plain_n2000_uniform_neg30_r0.json,35817d1c1aafd47a030dfa03b1ebfca0690ff6596363b8ec045a4e63a6ce7876,0,507,,2000,48078.02777777778,508,generated,26750976,0,0.000275447,0.004651301,0.0,673183,0,0,666f1dbfe3e02f9f,0.054634612999507226,optimal,0.047674194,0.009829743,True
0,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,0,"""instance""",0.000219996,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_empty_plain_n2000_uniform_neg30_r0.json', '--config', '<project>/experiments/runs/pilot/a5d718024844ec91/resolved_config.json', '--output', '<project>/experiments/runs/pilot/a5d718024844ec91/result.json']",False,parametric,0,0.0,0.028364833,empty,0,1015,0,gen_empty_plain_n2000_uniform_neg30_r0,data/generated/gen_empty_plain_n2000_uniform_neg30_r0.json,35817d1c1aafd47a030dfa03b1ebfca0690ff6596363b8ec045a4e63a6ce7876,0,507,,2000,48078.02777777778,1014,generated,26750976,0,0.000273019,0.0,0.0,0,0,0,a5d718024844ec91,0.03250448399921879,optimal,0.026822562,0.0,True
