arcs,configuration,family,flow_solves,instance,macroitems,median_seconds,nodes,objective,oracle_calls,origin,peak_rss_bytes,pivots,replicas,solved,solver_seconds,spread_seconds,status
209,dinkelbach,cyclic,18,gen_cyclic_components10_n200_uniform_neg30_r1,3,0.0033922820002771914,200,75.4501,4,generated,23519232,0,3,3,0.000114532,0.00018878300033975393,optimal
209,forest-reference,cyclic,0,gen_cyclic_components10_n200_uniform_neg30_r1,3,0.0034373569942545146,200,75.4501,4,generated,22863872,13,3,3,8.8191e-05,0.00032965200080070645,optimal
209,forest-tuned,cyclic,0,gen_cyclic_components10_n200_uniform_neg30_r1,3,0.003481459993054159,200,75.4501,4,generated,23191552,17,3,3,0.000100049,0.00025581399677321315,optimal
209,parametric,cyclic,7,gen_cyclic_components10_n200_uniform_neg30_r1,3,0.0036640510079450905,200,75.4501,6,generated,23519232,0,3,3,7.9647e-05,0.00046229899453464895,optimal
209,dinkelbach,cyclic,3,gen_cyclic_components10_n200_uniform_neg30_r2,1,0.0035691459925146773,200,825.75,1,generated,23605248,0,3,3,8.6724e-05,0.00011856899072881788,optimal
209,forest-reference,cyclic,0,gen_cyclic_components10_n200_uniform_neg30_r2,1,0.005185811998671852,200,825.75,1,generated,23519232,9,3,3,9.6955e-05,0.0026329490065108985,optimal
209,forest-tuned,cyclic,0,gen_cyclic_components10_n200_uniform_neg30_r2,1,0.0036347499990370125,200,825.75,1,generated,23519232,0,3,3,8.0664e-05,0.0009621890058042482,optimal
209,parametric,cyclic,2,gen_cyclic_components10_n200_uniform_neg30_r2,1,0.0034975570015376434,200,825.75,2,generated,23695360,0,3,3,8.0743e-05,0.0005231489922152832,optimal
31979,dinkelbach,dense,110,gen_dense_density0.1_n800_uniform_neg30_r0,18,0.6743393710057717,800,6881.598944591029,19,generated,28114944,0,3,3,0.64404754,0.026828848000150174,optimal
31979,forest-reference,dense,,gen_dense_density0.1_n800_uniform_neg30_r0,4,,800,0.0,,generated,24051712,,3,0,,0.0,time_limit
31979,forest-tuned,dense,0,gen_dense_density0.1_n800_uniform_neg30_r0,18,0.6716059129976202,800,6881.598944591029,19,generated,27746304,26722,3,3,0.640796529,0.3226928770163795,optimal
31979,parametric,dense,37,gen_dense_density0.1_n800_uniform_neg30_r0,18,0.12214978800329845,800,6881.598944591029,36,generated,28114944,0,3,3,0.093500521,0.004093226001714356,optimal
31773,dinkelbach,dense,62,gen_dense_density0.1_n800_uniform_neg30_r1,8,0.437995015992783,800,221.0457052238806,9,generated,28123136,0,3,3,0.409513167,0.045438931017997675,optimal
31773,forest-reference,dense,,gen_dense_density0.1_n800_uniform_neg30_r1,3,,800,0.0,,generated,28123136,,3,0,,0.0,time_limit
31773,forest-tuned,dense,0,gen_dense_density0.1_n800_uniform_neg30_r1,8,0.7458158709923737,800,221.0457052238806,9,generated,28123136,24212,3,3,0.718133692,0.022023028985131532,optimal
31773,parametric,dense,17,gen_dense_density0.1_n800_uniform_neg30_r1,8,0.06959889599238522,800,221.0457052238806,16,generated,28123136,0,3,3,0.040549213,0.0032737400179030374,optimal
31919,dinkelbach,dense,120,gen_dense_density0.1_n800_uniform_neg30_r2,17,0.6836992180033121,800,4419.770519077196,18,generated,28123136,0,3,3,0.649154698,0.04284571199968923,optimal
31919,forest-reference,dense,,gen_dense_density0.1_n800_uniform_neg30_r2,8,,800,0.0,,generated,28123136,,3,0,,0.0,time_limit
31919,forest-tuned,dense,0,gen_dense_density0.1_n800_uniform_neg30_r2,17,0.7514231870009098,800,4419.770519077196,18,generated,28123136,30524,3,3,0.722424748,0.052932659004000016,optimal
31919,parametric,dense,35,gen_dense_density0.1_n800_uniform_neg30_r2,17,0.10494581400416791,800,4419.770519077196,34,generated,28123136,0,3,3,0.075494494,0.0018344500131206587,optimal
2494,dinkelbach,diamonds,69,gen_diamonds_module4_n2000_uniform_neg30_r0,11,0.23719681000511628,2000,14644.151636073424,12,generated,28123136,0,3,3,0.227385855,0.00918200500018429,optimal
2494,forest-reference,diamonds,0,gen_diamonds_module4_n2000_uniform_neg30_r0,11,0.8748451199935516,2000,14644.151636073424,12,generated,28123136,12824,3,3,0.864818718,0.05539598701579962,optimal
2494,forest-tuned,diamonds,0,gen_diamonds_module4_n2000_uniform_neg30_r0,11,0.10970210500818212,2000,14644.151636073424,12,generated,28123136,1544,3,3,0.100612343,0.0010022360074799508,optimal
2494,parametric,diamonds,23,gen_diamonds_module4_n2000_uniform_neg30_r0,11,0.05418820699560456,2000,14644.151636073424,22,generated,28123136,0,3,3,0.044690394,0.0020114339858992025,optimal
2494,dinkelbach,diamonds,72,gen_diamonds_module4_n2000_uniform_neg30_r1,9,0.314706039003795,2000,208.08599999999998,10,generated,28123136,0,3,3,0.304770978,0.005095932996482588,optimal
2494,forest-reference,diamonds,0,gen_diamonds_module4_n2000_uniform_neg30_r1,9,1.328355535006267,2000,208.08599999999998,10,generated,28123136,18590,3,3,1.318974273,0.012013093000859953,optimal
2494,forest-tuned,diamonds,0,gen_diamonds_module4_n2000_uniform_neg30_r1,9,0.16140541600179859,2000,208.08599999999998,10,generated,28123136,2905,3,3,0.152125522,0.006321874010609463,optimal
2494,parametric,diamonds,19,gen_diamonds_module4_n2000_uniform_neg30_r1,9,0.034965699989697896,2000,208.08599999999998,18,generated,28123136,0,3,3,0.026004151,0.0020386420073919,optimal
2494,dinkelbach,diamonds,41,gen_diamonds_module4_n2000_uniform_neg30_r2,7,0.12635108100948855,2000,9370.386526206268,8,generated,28123136,0,3,3,0.11674398,0.0003663539973786101,optimal
2494,forest-reference,diamonds,0,gen_diamonds_module4_n2000_uniform_neg30_r2,7,0.7685522170067998,2000,9370.386526206268,8,generated,28123136,11046,3,3,0.758370957,0.01546413499454502,optimal
2494,forest-tuned,diamonds,0,gen_diamonds_module4_n2000_uniform_neg30_r2,7,0.04121382100856863,2000,9370.386526206268,8,generated,28123136,525,3,3,0.032034243,0.00015498600259888917,optimal
2494,parametric,diamonds,15,gen_diamonds_module4_n2000_uniform_neg30_r2,7,0.04080392800096888,2000,9370.386526206268,14,generated,28123136,0,3,3,0.031953593,0.0009581860067555681,optimal
19993,dinkelbach,disconnected,,gen_disconnected_components6_n20000_uniform_neg30_r0,0,,20000,0.0,,generated,35192832,,3,0,,0.0,time_limit
19993,forest-reference,disconnected,,gen_disconnected_components6_n20000_uniform_neg30_r0,19,,20000,0.0,,generated,35192832,,3,0,,0.0,time_limit
19993,forest-tuned,disconnected,,gen_disconnected_components6_n20000_uniform_neg30_r0,41,,20000,0.0,,generated,35192832,,3,0,,0.0,time_limit
19993,parametric,disconnected,3785,gen_disconnected_components6_n20000_uniform_neg30_r0,1892,2.804240473997197,20000,349636.4769736842,3784,generated,35192832,0,3,3,2.761918659,0.21590643699164502,optimal
19993,dinkelbach,disconnected,,gen_disconnected_components6_n20000_uniform_neg30_r1,0,,20000,0.0,,generated,35192832,,3,0,,0.0,time_limit
19993,forest-reference,disconnected,,gen_disconnected_components6_n20000_uniform_neg30_r1,17,,20000,0.0,,generated,35192832,,3,0,,0.0,time_limit
19993,forest-tuned,disconnected,,gen_disconnected_components6_n20000_uniform_neg30_r1,40,,20000,0.0,,generated,35192832,,3,0,,0.0,time_limit
19993,parametric,disconnected,8397,gen_disconnected_components6_n20000_uniform_neg30_r1,4198,4.230882823991124,20000,45430.52811111111,8396,generated,37154816,0,3,3,4.18693889,0.092044174001785,optimal
19993,dinkelbach,disconnected,,gen_disconnected_components6_n20000_uniform_neg30_r2,0,,20000,0.0,,generated,37154816,,3,0,,0.0,time_limit
19993,forest-reference,disconnected,,gen_disconnected_components6_n20000_uniform_neg30_r2,25,,20000,0.0,,generated,37154816,,3,0,,0.0,time_limit
19993,forest-tuned,disconnected,,gen_disconnected_components6_n20000_uniform_neg30_r2,42,,20000,0.0,,generated,37154816,,3,0,,0.0,time_limit
19993,parametric,disconnected,3079,gen_disconnected_components6_n20000_uniform_neg30_r2,1539,2.4381976630102145,20000,253058.0,3078,generated,37154816,0,3,3,2.395406841,0.07089008799812291,optimal
0,dinkelbach,empty,6751,gen_empty_plain_n20000_uniform_neg0_r0,623,2.9783690059994115,20000,565434.09375,623,generated,37154816,0,3,3,2.953787211,0.159376469993731,optimal
0,forest-reference,empty,,gen_empty_plain_n20000_uniform_neg0_r0,296,,20000,0.0,,generated,37154816,,3,0,,0.0,time_limit
0,forest-tuned,empty,0,gen_empty_plain_n20000_uniform_neg0_r0,623,0.5253664440097054,20000,565434.09375,623,generated,37154816,0,3,3,0.498819385,0.0598422409966588,optimal
0,parametric,empty,1246,gen_empty_plain_n20000_uniform_neg0_r0,623,0.3816422120144125,20000,565434.09375,1246,generated,37154816,0,3,3,0.356593423,0.08666869300941471,optimal
0,dinkelbach,empty,,gen_empty_plain_n20000_uniform_neg0_r1,0,,20000,0.0,,generated,40599552,,3,0,,0.0,time_limit
