arcs,build_source_hash,candidates_examined,capacity_mode,certification_seconds,command,complete_sequence,configuration,degenerate_pivots,direction_seconds,end_to_end_seconds,family,flow_augmentations,flow_solves,full_rebuilds,instance,instance_path,instance_sha256,local_rebuilds,macroitems,message,nodes,objective,oracle_calls,origin,peak_rss_bytes,pivots,preprocessing_seconds,pricing_seconds,ratio_test_seconds,rebuilt_nodes,removed_arcs,repeat_of_replica_0,replica,run_id,runner_seconds,status,total_seconds,update_seconds,verified
19761,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,1291002470,"""instance""",0.0,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r1.json', '--config', '<project>/experiments/runs/dual/8b0e4bdec3937186/resolved_config.json', '--output', '<project>/experiments/runs/dual/8b0e4bdec3937186/result.json']",False,forest-dual-largest-tree,0,4.49220654,30.013845385,bilevel,0,0,4026,gen_bilevel_density0.02_n2000_uniform_neg30_r1,data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r1.json,d7108202daa9124d5de7d9377919dbc0f3ca210e7ea8f299d7bbe691d6923a26,865762,629,residual oracle did not certify optimality,2000,0.0,631,generated,26648576,869157,0.001650889,10.850139303999999,6.034915106,202985952,0,,0,8b0e4bdec3937186,30.029546019999543,time_limit,30.000078298,7.67787549,False
19761,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,,"""instance""",,,,forest-dual-largest-tree,,,,bilevel,,,,gen_bilevel_density0.02_n2000_uniform_neg30_r1,data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r1.json,d7108202daa9124d5de7d9377919dbc0f3ca210e7ea8f299d7bbe691d6923a26,,,residual oracle did not certify optimality,2000,,,generated,,,,,,,,True,1,480077b7222f9c6b,30.029546019999543,time_limit,,,False
19761,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,49670393,"""instance""",0.000594747,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r1.json', '--config', '<project>/experiments/runs/dual/64d890c847ffc641/resolved_config.json', '--output', '<project>/experiments/runs/dual/64d890c847ffc641/result.json']",False,forest-primal,700940,1.238948319,11.848364401,bilevel,0,0,3510,gen_bilevel_density0.02_n2000_uniform_neg30_r1,data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r1.json,d7108202daa9124d5de7d9377919dbc0f3ca210e7ea8f299d7bbe691d6923a26,717846,689,,2000,5000.13871875,695,generated,26570752,720661,0.001530054,0.580763767,0.9982660520000001,232146917,0,,0,64d890c847ffc641,11.85795012699964,optimal,11.834835135,7.845084544,True
19761,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,49670393,"""instance""",0.000602895,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r1.json', '--config', '<project>/experiments/runs/dual/d107ea1d26afef25/resolved_config.json', '--output', '<project>/experiments/runs/dual/d107ea1d26afef25/result.json']",False,forest-primal,700940,1.187489436,11.502169666,bilevel,0,0,3510,gen_bilevel_density0.02_n2000_uniform_neg30_r1,data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r1.json,d7108202daa9124d5de7d9377919dbc0f3ca210e7ea8f299d7bbe691d6923a26,717846,689,,2000,5000.13871875,695,generated,26648576,720661,0.001409702,0.560555321,0.964024944,232146917,0,,1,d107ea1d26afef25,11.511772624988225,optimal,11.488683199,7.637701048,True
19761,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,0,"""instance""",0.000934605,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r1.json', '--config', '<project>/experiments/runs/dual/dea5d4697bd88bb4/resolved_config.json', '--output', '<project>/experiments/runs/dual/dea5d4697bd88bb4/result.json']",False,parametric,0,0.0,0.149706161,bilevel,2203,1379,0,gen_bilevel_density0.02_n2000_uniform_neg30_r1,data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r1.json,d7108202daa9124d5de7d9377919dbc0f3ca210e7ea8f299d7bbe691d6923a26,0,689,,2000,5000.13871875,1378,generated,26648576,0,0.001656169,0.0,0.0,0,0,,0,dea5d4697bd88bb4,0.16019106699968688,optimal,0.130841424,0.0,True
19761,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,0,"""instance""",0.001005432,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r1.json', '--config', '<project>/experiments/runs/dual/e5619f0f5c63e98b/resolved_config.json', '--output', '<project>/experiments/runs/dual/e5619f0f5c63e98b/result.json']",False,parametric,0,0.0,0.1611913,bilevel,2203,1379,0,gen_bilevel_density0.02_n2000_uniform_neg30_r1,data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r1.json,d7108202daa9124d5de7d9377919dbc0f3ca210e7ea8f299d7bbe691d6923a26,0,689,,2000,5000.13871875,1378,generated,26648576,0,0.00180519,0.0,0.0,0,0,,1,e5619f0f5c63e98b,0.17229712598782498,optimal,0.143978984,0.0,True
19699,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,492679160,"""instance""",0.000584688,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r2.json', '--config', '<project>/experiments/runs/dual/327dd14475eea163/resolved_config.json', '--output', '<project>/experiments/runs/dual/327dd14475eea163/result.json']",False,forest-dual,0,1.867354138,11.326784125,bilevel,0,0,1419,gen_bilevel_density0.02_n2000_uniform_neg30_r2,data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r2.json,62ce1b446117e44841d23975b425d44e269724e1fe25c679f412ee2d0064d816,288509,287,,2000,23875.47306953925,288,generated,26693632,289640,0.001451594,5.383790734,1.127079891,68584839,0,,0,327dd14475eea163,11.335924783008522,optimal,11.313905215,2.597874187,True
19699,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,492679160,"""instance""",0.000716063,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r2.json', '--config', '<project>/experiments/runs/dual/cb4ce6f6df89dcb8/resolved_config.json', '--output', '<project>/experiments/runs/dual/cb4ce6f6df89dcb8/result.json']",False,forest-dual,0,1.733012316,10.704101435,bilevel,0,0,1419,gen_bilevel_density0.02_n2000_uniform_neg30_r2,data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r2.json,62ce1b446117e44841d23975b425d44e269724e1fe25c679f412ee2d0064d816,288509,287,,2000,23875.47306953925,288,generated,26742784,289640,0.00130962,5.020982266,1.094139388,68584839,0,,1,cb4ce6f6df89dcb8,10.713875364992418,optimal,10.691028541,2.526630276,True
19699,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,695029129,"""instance""",0.000622794,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r2.json', '--config', '<project>/experiments/runs/dual/d3a48a05d7997f80/resolved_config.json', '--output', '<project>/experiments/runs/dual/d3a48a05d7997f80/result.json']",False,forest-dual-largest-tree,0,2.507822897,20.897654253,bilevel,0,0,1884,gen_bilevel_density0.02_n2000_uniform_neg30_r2,data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r2.json,62ce1b446117e44841d23975b425d44e269724e1fe25c679f412ee2d0064d816,407081,287,,2000,23875.47306953925,288,generated,26808320,408677,0.001506056,6.816952166,4.740642469,167236285,0,,0,d3a48a05d7997f80,20.906512112997007,optimal,20.884275446,6.264421349,True
19699,493f6f942eca3576ac0253ad50581fbe0469e8e417d3f97011c676f7789871fd,695029129,"""instance""",0.000624519,"['taskset', '-c', '2', '<project>/build/release/pclp', 'solve', '--instance', '<project>/data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r2.json', '--config', '<project>/experiments/runs/dual/e0e53e75c8ae8b72/resolved_config.json', '--output', '<project>/experiments/runs/dual/e0e53e75c8ae8b72/result.json']",False,forest-dual-largest-tree,0,2.505327515,20.896255288,bilevel,0,0,1884,gen_bilevel_density0.02_n2000_uniform_neg30_r2,data/generated/gen_bilevel_density0.02_n2000_uniform_neg30_r2.json,62ce1b446117e44841d23975b425d44e269724e1fe25c679f412ee2d0064d816,407081,287,,2000,23875.47306953925,288,generated,26808320,408677,0.001422457,6.798955578,4.725355063,167236285,0,,1,e0e53e75c8ae8b72,20.90364194700669,optimal,20.882910247,6.300691217,True
